sample_ID,location_name,Station_ID,well,project,project2,location,date,depth_target
20250123-CGASH241217|515F-806RB|CGASH241217-16S|A02,Clark Lake,CL,A02,TCN2024-CL-20240825,TCN,Split Lake,20240825,surface
20250123-CGASH241217|515F-806RB|CGASH241217-16S|A03,Assean Lake (east),ALe,A03,TCN2024-Ale-20240825,TCN,Split Lake,20240825,surface
20250123-CGASH241217|515F-806RB|CGASH241217-16S|A04,Assean Lake (west),ALw,A04,TCN2024-Alw-20240825,TCN,Split Lake,20240825,surface
20250123-CGASH241217|515F-806RB|CGASH241217-16S|A05,Split Lake Treatment Plant,SLTP,A05,TCN2024-SLTP-20240825,TCN,Split Lake,20240825,surface
20250123-CGASH241217|515F-806RB|CGASH241217-16S|A06,Split Clark Narrow,SCN,A06,TCN2024-SCN-20240825,TCN,Split Lake,20240825,surface
20250123-CGASH241217|515F-806RB|CGASH241217-16S|A07,Odie River,OR,A07,TCN2024-OR-20240825,TCN,Split Lake,20240825,surface
20250123-CGASH241217|515F-806RB|CGASH241217-16S|A08,Grassy River,GR,A08,TCN2024-GR-20240825,TCN,Split Lake,20240825,surface
20250123-CGASH241217|515F-806RB|CGASH241217-16S|A09,Hole in the Rock Bay,HRB,A09,TCN2024-HRB-20240825,TCN,Split Lake,20240825,surface
20250123-CGASH241217|515F-806RB|CGASH241217-16S|A10,Nelson Burntwood,NB,A10,TCN2024-NB-20240825,TCN,Split Lake,20240825,surface
20250123-CGASH241217|515F-806RB|CGASH241217-16S|A11,York Landing Channel,YLC,A11,TCN2024-YLC-20240825,TCN,Split Lake,20240825,surface
20250123-CGASH241217|515F-806RB|CGASH241217-16S|A12,Old Fish Camp Narrow,OFCN,A12,TCN2024-OFCN-20240825,TCN,Split Lake,20240825,surface
20250123-CGASH241217|515F-806RB|CGASH241217-16S|B01,Aiken River,AK,B01,TCN2024-AR-20240825,TCN,Split Lake,20240825,surface
20250123-CGASH241217|515F-806RB|CGASH241217-16S|B02,Burntwood River,BR,B02,TCN2024-BR-20240825,TCN,Split Lake,20240825,surface
20250123-CGASH241217|515F-806RB|CGASH241217-16S|B03,Maskwa Bay,MB,B03,TCN2024-MB-20240825,TCN,Split Lake,20240825,surface
20250123-CGASH241217|515F-806RB|CGASH241217-16S|B04,Kelsey Dam,KD,B04,TCN2024-KD-20240825,TCN,Split Lake,20240825,surface
20250123-CGASH241217|515F-806RB|CGASH241217-16S|B06,Josey Spence Island,JSI,B06,TCN2024-JSI-20240825,TCN,Split Lake,20240825,surface
